line,excerpt,categories,HC,claim,verified,evidence
178,"Du~et~al.~(2022, Int.~J.~Fatigue~155: 106575) applied Sobol'",method_term,H,method_term:Sobol,H,Method: established term
182,"welded joints, crankshafts, and turbine discs. These studies",method_term,H,method_term:aft,H,Method: established term
188,"Third, censored-data methods for fatigue life analysis have a long",method_term,H,method_term:censored,H,Method: established term
189,history. The AFT model has been used in medical survival analysis since,method_term,H,method_term:AFT,H,Method: established term
192,extends this tradition by combining the AFT censored-likelihood,method_term,H,method_term:AFT; method_term:censored,H,Method: established term
193,framework with a full-factorial design to produce a,method_term,H,method_term:full-factorial,H,Method: established term
198,No prior work has deployed a controlled full-factorial framework to,"novelty_claim,method_term",C,method_term:full-factorial; novelty_claim:No prior,C,Claude: novelty claim; verify no published precedent
203,"I address three questions with direct engineering relevance. First,",novelty_claim,C,novelty_claim:First,C,Claude: novelty/gap claim
206,"design reviews and standards harmonization? Second, can a bootstrap",method_term,H,method_term:bootstrap,H,Method: established term
215,variability) within a single calculation standard. No prior gear,novelty_claim,C,novelty_claim:No prior,C,Claude: novelty claim; verify no published precedent
220,gap through three contributions: (i)~a simultaneous,novelty_claim,C,novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
221,full-factorial,method_term,H,method_term:full-factorial,H,Method: established term
222,simultaneous variance decomposition across five major methodological,novelty_claim,C,novelty_claim:simultaneous,C,Claude: simultaneous-factorial claim; verify scope
223,"choices in gear bending fatigue, using a censored-likelihood AFT",method_term,H,method_term:censored; method_term:AFT,H,Method: established term
227,ANOVA and Sobol'-based sensitivity analyses when applied to censored,method_term,H,method_term:ANOVA; method_term:Sobol; method_term:censored,H,Method: established term
245,"42CrMo4/AISI~4140, quenched and tempered to 300~HB. The loading is",material_claim,H,material_claim:quenched and tempered; material_claim:42CrMo4,H,Material: from standards/data sheets
261,Material & 42CrMo4 / AISI 4140 & --- \\,material_claim,H,material_claim:AISI 4140; material_claim:42CrMo4,H,Material: from standards/data sheets
280,"parameter sets for quenched-and-tempered AISI~4140 ($\sim$300~HB),",material_claim,H,material_claim:quenched-and-tempered,H,Material: from standards/data sheets
281,drawn from the publicly accessible University of Waterloo SMDIdbase%,data_source,H,data_source:Waterloo; data_source:SMDIdbase,H,Verified: Waterloo SMDIdbase is public
282,~\cite{waterloo_fde}:,"citation,data_source",?,citation:\cite{waterloo_fde}; data_source:waterloo,?,Citation: verify description matches source
285,"\item Waterloo \#68: $\sigma'_f = 1356$~MPa, $b=-0.055$,",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
287,"\item Waterloo \#66: $\sigma'_f = 1684$~MPa, $b=-0.070$,",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
297,S--N source variance ($-0.7$\%) reported in Table~\ref{tab:anova}.,method_term,H,method_term:anova,H,Method: established term
303,"Four classical methods~\cite{stephens2001,dowling2013} convert a mean-stress-affected stress to an",citation,?,"citation:\cite{stephens2001,dowling2013}",?,Citation: verify description matches source
329,\item Modified Miner (AGMA/FKM): $D_c = 0.7$,standard_claim,H,standard_claim:FKM): $D_c = 0,H,Standard: from published specifications
331,A comprehensive survey of cumulative damage theories is given by Fatemi and Yang~\cite{fatemi1998}.,citation,?,citation:\cite{fatemi1998},?,Citation: verify description matches source
336,"\item ISO 6336-3: $Y_X = 1.0$ (size factor, $m_n \leq 10$~mm).","formula_term,standard_claim",H,formula_term:Y_X; standard_claim:ISO 6336-3: $Y_X = 1,H,Formula: from ISO/AGMA/FKM standards
342,"\item AGMA 2001-D04: $K_s = 1.0$ (size factor, Clause~15,",standard_claim,H,standard_claim:AGMA 2001-D04: $K_s = 1,H,Standard: from published specifications
349,"\item FKM Guideline (7th ed., Section~4.4.2):",standard_claim,H,standard_claim:FKM Guideline (7th ed,H,Standard: from published specifications
352,the FKM guideline provides a more general table-based procedure,standard_claim,H,standard_claim:FKM guideline provides a more general table-based procedure,H,Standard: from published specifications
354,$K_{F\sigma} = \max(1 - 0.22 \cdot \log_{10}(R_z) \cdot,formula_term,H,formula_term:K_{F,H,Formula: from ISO/AGMA/FKM standards
367,\subsection{Stress Concentration Treatment},formula_term,H,formula_term:Stress Concentration,H,Formula: from ISO/AGMA/FKM standards
371,"the stress correction factor $Y_{Sa} \approx 1.55$, which converts the",formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
373,fillet. Because $Y_{Sa}$ already accounts for the geometric stress,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
374,"concentration, applying a separate fatigue notch factor $K_f$ (e.g.\",formula_term,H,formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
380,"switches, I omit $K_f$ from the pipeline and rely on $Y_{Sa}$ for the",formula_term,H,formula_term:Y_{Sa}; formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
381,stress concentration. A third-party method for $K_f$ (e.g.\ a 3D,formula_term,H,formula_term:stress concentration; formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
384,is computed without $Y_{Sa}$.,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
386,"This treatment is internally consistent for ISO~6336, where $Y_{Sa}$",formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
388,"For AGMA~2001 and FKM, however, the situation is asymmetric: neither",standard_claim,H,standard_claim:FKM,H,Standard: from published specifications
389,standard employs a $Y_{Sa}$-equivalent coefficient in its native,formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
392,uniform removal of $K_f$ and adoption of $Y_{Sa}$ therefore alters the,formula_term,H,formula_term:Y_{Sa}; formula_term:K_f,H,Formula: from ISO/AGMA/FKM standards
393,native stress calculation chains of AGMA and FKM in two ways---%,standard_claim,H,standard_claim:FKM in two ways---%,H,Standard: from published specifications
397,"reported 35.3\% standard-choice variance, and the reported value should",percentage,H,percentage:35.3\%,H,Verified: aft_anova.json
406,"Y_{Fa} \, Y_{Sa} \, Y_\varepsilon \, Y_\beta",formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
410,"$Y_{Fa}=2.80$ and $Y_{Sa}=1.55$ (ISO~6336-3 Annex~A, Figure~A.1,",formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
420,"factor $K_{F\beta}$, transverse load factor $K_{F\alpha}$, rim",formula_term,H,formula_term:K_{F,H,Formula: from ISO/AGMA/FKM standards
427,"factors ($K_A > 1$, $K_V > 1$, $K_{F\beta} > 1$) would alter the",formula_term,H,formula_term:K_{F,H,Formula: from ISO/AGMA/FKM standards
450,\subsection{Censored-Likelihood Full-Factorial Uncertainty Decomposition},method_term,H,method_term:Full-Factorial; method_term:Censored,H,Method: established term
452,\subsubsection{Log-Normal AFT with Censored Likelihood},method_term,H,method_term:AFT; method_term:Log-Normal; method_term:Censored,H,Method: established term
454,The statistical contribution of this paper is not the AFT model,method_term,H,method_term:AFT,H,Method: established term
457,quantification framework for censored factorial fatigue data:,method_term,H,method_term:censored; method_term:factorial,H,Method: established term
458,(i)~a log-normal AFT with categorical predictors as the likelihood,method_term,H,method_term:AFT; method_term:log-normal,H,Method: established term
463,homoscedasticity assumptions of ordinary ANOVA; and (iii)~a bootstrap,method_term,H,method_term:ANOVA; method_term:bootstrap,H,Method: established term
465,signal from finite-sample fluctuation. For a balanced full-factorial,method_term,H,method_term:full-factorial,H,Method: established term
466,"design, decomposition~(ii) is structurally equivalent to first-order",novelty_claim,C,novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
467,Sobol' sensitivity indices computed on $\log_{10}(N_f)$; the AFT,method_term,H,method_term:AFT; method_term:Sobol,H,Method: established term
468,framework extends this equivalence to datasets containing right-censored,method_term,H,method_term:censored,H,Method: established term
469,"observations, for which ordinary Sobol' estimators are not defined. I",method_term,H,method_term:Sobol,H,Method: established term
470,For a balanced full-factorial design with categorical factors and,method_term,H,method_term:full-factorial,H,Method: established term
471,"complete (uncensored) data, the drop-one-factor likelihood-ratio",method_term,H,method_term:censored,H,Method: established term
472,decomposition is mathematically equivalent to first-order Sobol',"novelty_claim,method_term",C,method_term:Sobol; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
473,sensitivity indices. The AFT framework extends this equivalence to,method_term,H,method_term:AFT,H,Method: established term
474,"datasets containing right-censored observations, for which ordinary",method_term,H,method_term:censored,H,Method: established term
475,Sobol' estimators are undefined because the response variable,method_term,H,method_term:Sobol,H,Method: established term
477,statistical argument for adopting AFT over conventional global,method_term,H,method_term:AFT,H,Method: established term
479,discarding them---as Sobol' would require---would systematically bias,method_term,H,method_term:Sobol,H,Method: established term
480,the decomposition (\S\ref{sec:aft_vs_anova}). I am not aware of prior,"novelty_claim,method_term",C,method_term:anova; novelty_claim:prior; method_term:aft,C,Claude: novelty claim; verify no published precedent
481,work that uses this censored-likelihood decomposition framework for,method_term,H,method_term:censored,H,Method: established term
484,I fit a log-normal accelerated failure time (AFT) model to,method_term,H,method_term:AFT; method_term:log-normal,H,Method: established term
486,The 92 run-out entries are treated as right-censored observations,method_term,H,method_term:censored,H,Method: established term
494,\times 100\%,percentage,H,percentage:100\%,H,Verified: aft_anova.json
500,ordinary least-squares ANOVA.,method_term,H,method_term:ANOVA,H,Method: established term
505,distinguish it from conventional ANOVA or Sobol' sensitivity indices.,method_term,H,method_term:ANOVA; method_term:Sobol,H,Method: established term
506,"First, the denominator is the sum of the absolute",novelty_claim,C,novelty_claim:First,C,Claude: novelty/gap claim
509,"different from 100\% (here, 97.9\% excluding the negative S--N",percentage,H,percentage:100\%; percentage:97.9\%,H,Verified: aft_anova.json
514,"variance contribution. Third, for a balanced full-factorial design",method_term,H,method_term:full-factorial,H,Method: established term
515,"with complete (uncensored) data, Eq.~(\ref{eq:lr_var}) is",method_term,H,method_term:censored,H,Method: established term
516,mathematically equivalent to the first-order Sobol' sensitivity,"novelty_claim,method_term",C,method_term:Sobol; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
517,"index $S_1$. The present dataset is censored (64\% run-out), so","percentage,method_term",H,percentage:64\%; method_term:censored,H,Verified: aft_anova.json
518,the equivalence is approximate; the AFT framework provides the,method_term,H,method_term:AFT,H,Method: established term
519,best available generalization of Sobol' indices to censored fatigue,method_term,H,method_term:censored; method_term:Sobol,H,Method: established term
521,"quantity defined by Eq.~(\ref{eq:lr_var}), not to a classical ANOVA",method_term,H,method_term:ANOVA,H,Method: established term
524,Residual diagnostics for the fitted AFT model are as follows.,method_term,H,method_term:AFT,H,Method: established term
535,heteroscedasticity ($p=0.004$). I proceed with the log-normal,method_term,H,method_term:log-normal,H,Method: established term
536,"AFT as a working model, noting that the likelihood-ratio-based",method_term,H,method_term:AFT,H,Method: established term
540,\S\ref{sec:constraints}). I note that for a balanced full-factorial,method_term,H,method_term:full-factorial,H,Method: established term
542,decomposition is structurally equivalent to first-order Sobol',"novelty_claim,method_term",C,method_term:Sobol; novelty_claim:first,C,"Claude: ""first-order"" claim; verify against statistical literature"
545,and their interactions. The AFT framework extends this equivalence to,method_term,H,method_term:AFT,H,Method: established term
546,"censored data, making it the natural generalization of global",method_term,H,method_term:censored,H,Method: established term
549,\subsubsection{Bootstrap Noise Floor},method_term,H,method_term:Bootstrap,H,Method: established term
551,I bootstrap-resample the 144 entries (with replacement) 2000 times,method_term,H,method_term:bootstrap,H,Method: established term
552,"(RNG seed~42), refitting the full AFT model and all drop-one-factor",method_term,H,method_term:AFT,H,Method: established term
559,bootstrap analogue of a $z$-statistic; under approximate normality,method_term,H,method_term:bootstrap,H,Method: established term
560,"of the bootstrap distribution, $\mathrm{S/N} > 1.96$ corresponds to",method_term,H,method_term:bootstrap,H,Method: established term
561,a 95\% confidence interval that excludes zero. I adopt,percentage,H,percentage:95\%,H,Verified: aft_anova.json
564,more stringent than the conventional $1.96$ benchmark. The bootstrap,method_term,H,method_term:bootstrap,H,Method: established term
565,95\% confidence intervals (percentile method) are reported alongside,percentage,H,percentage:95\%,H,Verified: aft_anova.json
575,All results in this section pertain to a single quenched-and-tempered,material_claim,H,material_claim:quenched-and-tempered,H,Material: from standards/data sheets
576,"42CrMo4 spur gear at 700~N$\cdot$m, $R=0$, with load factors set to",material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
584,\caption{Log-normal AFT variance decomposition---point estimates from the,method_term,H,method_term:AFT; method_term:Log-normal,H,Method: established term
586,92 run-outs handled via censored likelihood). Bootstrap means,method_term,H,method_term:censored; method_term:Bootstrap,H,Method: established term
588,and are shown in Fig.~\ref{fig:variance}.% @source: aft_anova.json,method_term,H,method_term:anova; method_term:aft,H,Method: established term
589,"All formulas verified against ISO~6336-3:2019, AGMA~2001-D04, FKM~7th~ed.",standard_claim,H,standard_claim:FKM~7th~ed,H,Standard: from published specifications
590,S--N parameters from Waterloo SMDIdbase.},data_source,H,data_source:Waterloo; data_source:SMDIdbase,H,Verified: Waterloo SMDIdbase is public
603,$\sigma_{\rm AFT}$          &        & 0.208 & --- \\,method_term,H,method_term:AFT,H,Method: established term
610,Table~\ref{tab:anova} presents the log-normal AFT variance,method_term,H,method_term:anova; method_term:AFT; method_term:log-normal,H,Method: established term
612,handled through censored likelihood (EM estimation). Two factors,method_term,H,method_term:censored,H,Method: established term
613,"dominate: mean-stress correction (39.1\%, S/N~$\approx$~15) and",percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
614,"size-and-surface factor formulation (35.3\%, S/N~$\approx$~15;",percentage,H,percentage:35.3\%,H,Verified: aft_anova.json
615,"quantified under the unified $Y_{Sa}$ baseline, \S\ref{sec:stress_concentration},",formula_term,H,formula_term:Y_{Sa},H,Formula: from ISO/AGMA/FKM standards
617,"roughness (23.5\%, S/N~$\approx$~10) is a clear third contributor.",percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
618,Together they account for 97.9\% of total,percentage,H,percentage:97.9\%,H,Verified: aft_anova.json
619,log-variance. Bootstrap confidence intervals from 2000 draws are narrow,method_term,H,method_term:Bootstrap,H,Method: established term
623,"The S--N curve source ($-$0.7\%, S/N~$\approx$~6) and the",percentage,H,percentage:0.7\%,H,Verified: aft_anova.json
624,"Standard~$\times$~$R_z$ interaction (2.5\%, S/N~$\approx$~3) are secondary but",percentage,H,percentage:2.5\%,H,Verified: aft_anova.json
625,"distinguishable from zero. The cumulative damage rule (0.3\%,",percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
627,AFT scale parameter $\sigma = 0.208$ indicates that the model,method_term,H,method_term:AFT,H,Method: established term
631,The 92 run-out combinations (64\% of the dataset) are predominantly,percentage,H,percentage:64\%,H,Verified: aft_anova.json
634,ANOVA or Sobol' sensitivity analysis must---would discard nearly,method_term,H,method_term:ANOVA; method_term:Sobol,H,Method: established term
637,analysis (\S\ref{sec:results}). The censored-likelihood AFT,method_term,H,method_term:censored; method_term:AFT,H,Method: established term
647,and SWT ($\approx 550$~MPa) intermediate. This 39\% spread in,percentage,H,percentage:39\%,H,Verified: aft_anova.json
657,"steels such as 42CrMo4; Gerber, Morrow, and SWT are better matched to",material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
659,"variance arises from this domain mismatch, I re-ran the AFT",method_term,H,method_term:AFT,H,Method: established term
662,"39.1\% to 26.8\%, and the factor ranking becomes standard (44.4\%),",percentage,H,percentage:26.8\%; percentage:39.1\%; percentage:44.4\%,H,Verified: aft_anova.json
663,"roughness (25.8\%), mean-stress (26.8\%). The standard becomes the",percentage,H,percentage:26.8\%; percentage:25.8\%,H,Verified: aft_anova.json
666,"contrast, while the remaining 27~pp reflects genuine divergence",novelty_claim,C,novelty_claim:contrast,C,Claude: novelty/gap claim
667,among methods all considered appropriate for ductile 42CrMo4. I,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
681,reduces the mean-stress contribution from 39.1\% to 26.8\% (a drop of,percentage,H,percentage:26.8\%; percentage:39.1\%,H,Verified: aft_anova.json
689,"operating conditions. Rather, the 39.1\% figure is specific to the",percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
692,the mean-stress contribution drops to approximately 10\% under the,percentage,H,percentage:10\%,H,Verified: aft_anova.json
693,earlier ANOVA framework (\S\ref{sec:torque})---a threefold reduction,method_term,H,method_term:ANOVA,H,Method: established term
694,over a 17\% torque decrease. For the vast majority of industrial,percentage,H,percentage:17\%,H,Verified: aft_anova.json
697,"far less than the 39.1\% reported here, and the standard choice or",percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
699,contribution reported in Table~\ref{tab:anova} is therefore best,method_term,H,method_term:anova,H,Method: established term
707,I emphasize that this finding---and the 39.1\% mean-stress variance,percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
708,fraction reported in Table~\ref{tab:anova}---is specific to an,method_term,H,method_term:anova,H,Method: established term
709,"idealized, residual-stress-free quenched-and-tempered gear. In",material_claim,H,material_claim:quenched-and-tempered,H,Material: from standards/data sheets
712,mean-stress correction contribution higher than 39.1\%;,percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
715,lower. The 39.1\% value is therefore a nominal midpoint,percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
717,"case-carburized gears, which dominate automotive and aerospace",material_claim,H,material_claim:case-carburized,H,Material: from standards/data sheets
723,total log-variance would be considerably lower than the 39.1\% reported,percentage,H,percentage:39.1\%,H,Verified: aft_anova.json
730,Surface roughness contributes 23.5\% of variance---comparable in magnitude,percentage,H,percentage:23.5\%,H,Verified: aft_anova.json
734,gradient; FKM uses a logarithmic cross-term with a UTS-dependent,standard_claim,H,standard_claim:FKM uses a logarithmic cross-term with a UTS-dependent,H,Standard: from published specifications
735,reference. The Standard~$\times$~$R_z$ interaction (2.5\%) reflects the,percentage,H,percentage:2.5\%,H,Verified: aft_anova.json
740,"ISO--FKM gap is 1.1~dex (ISO: 4.94, FKM: 3.86); at",standard_claim,H,standard_claim:FKM: 3; standard_claim:FKM gap is 1,H,Standard: from published specifications
742,"finite-life predictions), while FKM retains 6 finite-life entries",standard_claim,H,standard_claim:FKM retains 6 finite-life entries,H,Standard: from published specifications
747,"relative to the main effects, consistent with its 2.5\% variance",percentage,H,percentage:2.5\%,H,Verified: aft_anova.json
752,The S--N curve source yields a point estimate of $-0.7$\% (bootstrap,method_term,H,method_term:bootstrap,H,Method: established term
753,"mean $-0.4$\%, CI [$-$1.6, 1.6]; Table~\ref{tab:anova}). A negative",method_term,H,method_term:anova,H,Method: established term
757,fraction is high (64\%) and the factor contributes negligible,percentage,H,percentage:64\%,H,Verified: aft_anova.json
759,is statistically indistinguishable from zero: the two Waterloo,data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
763,to the total prediction variance. The Sobol'/ANOVA comparison,method_term,H,method_term:ANOVA; method_term:Sobol,H,Method: established term
764,(\S\ref{sec:aft_vs_anova}) confirms this interpretation: when the 92,method_term,H,method_term:anova; method_term:aft,H,Method: established term
765,"run-out observations are discarded, Sobol' misattributes 29.0\% of","percentage,method_term",H,method_term:Sobol; percentage:29.0\%,H,Verified: aft_anova.json
767,arises from discarding censored data. The cumulative damage rule,method_term,H,method_term:censored,H,Method: established term
768,(0.3\%) is minor for constant-amplitude loading. Under a single,percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
775,"by contrast, each stress block contributes a distinct $n_i/N_i$",novelty_claim,C,novelty_claim:contrast,C,Claude: novelty/gap claim
779,0.3\% figure must therefore not be generalized to,percentage,H,percentage:0.3\%,H,Verified: aft_anova.json
783,lower bound; a variable-amplitude extension of the factorial,method_term,H,method_term:factorial,H,Method: established term
790,"using the same AFT framework. At 500~N$\cdot$m, all 144 combinations",method_term,H,method_term:AFT,H,Method: established term
792,is below the fatigue strength at $10^6$~cycles for both Waterloo,data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
795,yielding an information-poor design (134/144 censored) for which the,method_term,H,method_term:censored,H,Method: established term
796,"AFT decomposition produces unstable, uninterpretable variance fractions",method_term,H,method_term:AFT,H,Method: established term
805,fatigue strength threshold. A quantitative multi-torque AFT,method_term,H,method_term:AFT,H,Method: established term
809,through-hardened 42CrMo4 gear studied here; this is identified as a,material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
810,priority for Phase~2 of the research roadmap,novelty_claim,C,novelty_claim:prior,C,Claude: recommendation claim
815,"Across all 144 combinations, 92 (64\%) predict run-out---the gear is",percentage,H,percentage:64\%,H,Verified: aft_anova.json
821,"626~MPa at $10^6$~cycles for Waterloo~\#68 and \#66, respectively)",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
823,estimates employed in earlier versions of this analysis. The 64\%,percentage,H,percentage:64\%,H,Verified: aft_anova.json
825,"through-hardened 42CrMo4 spur gear at this torque level, nearly",material_claim,H,material_claim:42CrMo4,H,Material: from standards/data sheets
831,The shortest finite life corresponds to the FKM standard with Goodman,standard_claim,H,standard_claim:FKM standard with Goodman,H,Standard: from published specifications
836,"(Waterloo~\#66), and the least conservative mean-stress corrections",data_source,H,data_source:Waterloo,H,Verified: Waterloo SMDIdbase is public
