行号,原文摘录,类别,H/C/?,来源声称,验证结果,证据
808,"CI [0.3, 6.8], S/N~$\approx$~2) is marginally detectable, and",threshold,?,,
813,"correction) because the bootstrap distribution incorporates",causal,?,,
824,"$\mathrm{S/N} \approx 22$--25, confirming that the variance fractions",threshold,?,,
869,"same 144-combination dataset. Because Sobol' indices require a fully",causal,?,,
890,"retained for the main analysis because it additionally preserves the",causal,?,,
907,"The following discussion interprets the numerical findings under the",standard_selection,?,,
982,"scatter. This single data point suggests that, for this material and at",causal,?,,
984,"variability that rivals or exceeds the intrinsic scatter of the",threshold,?,,
1001,"factor that directly reflects material variability---contributes",causal,?,,
1032,"the prediction budget for this gear class is therefore robust, though",classification,?,,
1052,"data, in part because the fatigue knee from pulsator tests occurs an",causal,?,,
1082,"that the standard+damage-rule architecture I employ reflects current industrial",causal,?,,
1128,"\textbf{Caveat.} The following discussion is based on the quantitative",standard_selection,?,,
1148,"contributors at industrially relevant torque levels suggests that",causal,?,,
1174,"S--N curve, roughness grade, damage rule) for specific gear classes and",classification,?,,
1194,"$\Delta$ indicates that AFT attributes more variance to that factor.",causal,?,,
1195,"The 500 and 600~N$\cdot$m levels are excluded because the AFT",causal,?,,
1221,"uncertainty sources. For datasets where the censoring fraction exceeds",threshold,?,,
1227,"\subsection{Empirical Correction Factors for Cross-Standard Life Comparison}",classification,?,,
1260,"(AGMA~$\to$~FKM). The offset between ISO and AGMA is smallest because",causal,?,,
1263,"conservative because its $K_{F\sigma}$ roughness penalty is steeper",causal,?,,
1282,"reflects the interaction with the other four switches, primarily",causal,?,,
1290,"industry correction factors. Generalization to a parametric family of",classification,?,,
1310,"gear classes.",classification,?,,
1322,"A lower median indicates a systematically more conservative prediction",causal,?,,
1328,"median $\log_{10}(N_f)$ indicates a systematically more conservative",causal,?,,
1380,"This offset is purely mathematical---it reflects formula differences, not",causal,?,,
1393,"methodological provenance of their life predictions. Table~\ref{tab:risk_thresholds}",threshold,?,,
1394,"suggests quantitative upper limits on allowable method-induced",causal,?,,
1395,"life spread for three consequence classes, providing a starting",classification,?,,
1401,"($\log_{10}(N_f)$) by failure consequence class. These thresholds are",threshold,?,,
1401,"($\log_{10}(N_f)$) by failure consequence class. These thresholds are",classification,?,,
1403,"risk assessments.\label{tab:risk_thresholds}}",threshold,?,,
1406,"Consequence class & Example & Max.\ allowable spread & Recommended action \\",classification,?,,
1418,"can guide engineering decisions, consider the following scenario. A",standard_selection,?,,
1470,"and in \emph{what order}---transfers across gear classes, but the",classification,?,,
1471,"specific ranking and numerical thresholds must be recalibrated for",threshold,?,,
1551,"($\approx 0.907$) because the power-law formula is validated only",causal,?,,
1559,"the cap introduces negligible bias. The cap is retained because",causal,?,,
1560,"it reflects the standard's stated validity range; extrapolating",causal,?,,
1587,"scale for Basquin-type S--N comparisons; (ii)~for a balanced",classification,?,,
1598,"factors ($p > 0.5$). The censoring pattern is physically",threshold,?,,
1603,"content: when the censoring fraction exceeds approximately",threshold,?,,
1706,"7.5\% (under an unverified endurance-limit cutoff) to $-$0.7\%",threshold,?,,
